ID,Weight
SkuPDT01149,56
C191025,345
OFF_FR_0778,147
PDT531590,177
PDT01162,198
OFF_FR_15014,134
PDT02173,321
OFF_FR_1045,171
OFF_FR_1898,87
PDT522580,75
OFF_FR_394,185
PDT00532,249
SkuPDT01385,52
SkuOFF_FR_1534,112
OFF_FR_1736,87
C231511,179
C201040,216
PDT00713,158
OFF_FR_447,144
SkuPDT01477,92
PDT00249,147
SkuPDT00210,107
C194045,383
C191022,369
SkuPDT02412,46
C1470,437
PDT01645,196
PDT01532,282
PDT00497,109
OFF_FR_1853,117
OFF_FR_143,247
SkuOFF_FR_1482,46
OFF_FR_1482,72
C151036,140
SkuOFF_FR_377,74
SkuPDT267580,87
SkuPDT267581,85
C221214,117
C202510,208
SkuPDT01113,53
C1985,291
PDT500589,263
SkuOFF_FR_1423,93
PDT00281,198
PDT00755,106
C2318,788
OFF_FR_1698,114
PDT31576,145
OFF_FR_15061,139
OFF_FR_138,157
OFF_FR_1788,136
OFF_FR_1423,242
C193020,485
PDT01262,142
SkuPDT00426,192
C116010,160
SkuPDT01802,46
SkuOFF_FR_1920,64
SkuOFF_FR_1118,48
SkuOFF_FR_126,95
C162030,198
C194040,266
SkuOFF_FR_1988,53
PDT00222,233
ViewContactConnect,68
PDT00602,123
PDT02411,185
OFF_FR_15082,168
PDT01360,114
ViewUserAccountCreateUserSuggestedAddress,90
PDT343580,284
OFF_FR_15051,216
SkuOFF_FR_151,59
PDT01212,74
PDT00341,138
SkuPDT01534,69
cms_000149,61
SkuOFF_FR_1108,55
PDT348583,92
C186020,71
SkuPDT02417,102
C1840,508
PDT00640,116
OFF_FR_1091,151
PDT167580,119
PDT02248,125
PDT01214,127
OFF_FR_191,253
PDT02135,218
PDT01628,163
PDT01618,124
SkuPDT501582,65
PDT02254,125
SkuPDT00758,49
SkuPDT00664,105
SkuOFF_FR_0913,51
SkuOFF_FR_10061,41
SkuPDT00895,41
C133020,111
SkuOFF_FR_1424,63
OFF_FR_1838,69
C198040,94
PDT02272,223
cms_000060,162
OFF_FR_1202,92
PDT01367,97
PDT176583,111
PDT396581,169
OFF_FR_362,165
PDT00870,133
OFF_FR_018,131
OFF_FR_15030,100
C183020,178
C131060,351
PDT01264,373
PDT02433,178
OFF_FR_1923,266
/configurateurposteemballage,246
PDT02260,130
C145510,124
OFF_FR_1123,109
OFF_FR_1829,141
SkuOFF_FR_1837,40
PDT00344,148
PDT254587,234
OFF_FR_1821,189
PDT30597,90
OFF_FR_15064,151
C2125,684
C212525,180
cms_000026,417
C194010,247
PDT501582,132
PDT351580,74
SkuPDT00186,223
SkuPDT00261,42
SkuOFF_FR_9498,52
OFF_FR_1090,111
C231811,132
C9911,78
SkuPDT02382,205
SkuOFF_FR_9398,60
C204530,106
C212620,127
SkuPDT00269,44
C1525,268
PDT01181,104
PDT02202,124
PDT01830,212
PDT00287,161
PDT00475,187
OFF_FR_15021,154
C2212,455
C223012,417
PDT01323,103
OFF_FR_346,149
OFF_FR_125,138
C212640,234
PDT01136,176
PDT02385,181
SkuPDT01230,45
C112027,154
PDT00745,83
C223513,90
SkuOFF_FR_9683,61
SkuPDT01321,130
C163010,145
C163020,159
C1765,402
OFF_FR_031,69
PDT00328,120
OFF_FR_152,270
SkuPDT00884,46
SkuPDT173580,52
OFF_FR_2056,118
PDT00357,99
PDT00564,126
OFF_FR_1737,118
PDT02389,112
PDT01268,106
OFF_FR_0980,112
PDT02207,183
PDT390581,124
PDT01571,244
OFF_FR_034,138
SkuPDT00415,39
SkuPDT00961,40
OFF_FR_1179,102
SkuPDT01633,73
SkuOFF_FR_1239,43
SkuOFF_FR_291,41
C205040,76
SkuOFF_FR_9436,53
SkuOFF_FR_9617,43
SkuOFF_FR_1111,45
SkuOFF_FR_130,40
PDT02482,112
OFF_FR_1830,117
SkuPDT12608,95
SkuPDT02131,105
SkuPDT00537,72
PDT01932,92
PDT02268,124
PDT01466,204
PDT04684,139
PDT00681,151
OFF_FR_1522,262
PDT94578,193
C231111,237
PDT02548,91
OFF_FR_1746,130
OFF_FR_1493,119
OFF_FR_1854,79
PDT02542,151
OFF_FR_464,131
PDT01309,315
OFF_FR_0855,121
PDT01599,141
SkuPDT08560,47
C152040,132
C156040,110
SkuPDT00372,46
OFF_FR_15000,91
SkuPDT531587,53
PDT01633,160
OFF_FR_1804,146
SkuPDT02398,56
C203220,136
SkuOFF_FR_9625,36
C164010,99
SkuPDT02542,62
SkuOFF_FR_1829,47
SkuPDT02135,64
PDT116581,156
SkuOFF_FR_15046,108
PDT01324,143
PDT00274,255
OFF_FR_15073,104
PDT00290,134
OFF_FR_15020,122
OFF_FR_1655,103
OFF_FR_1741,137
OFF_FR_448,107
PDT31578,105
PDT01591,146
OFF_FR_1233,118
PDT00890,70
PDT02427,90
PDT00864,104
PDT01223,190
OFF_FR_201,99
PDT01112,70
PDT02517,138
OFF_FR_0957,133
C1850,250
C157035,99
SkuPDT00338,187
SkuPDT00361,87
C115030,141
C115010,127
SkuOFF_FR_9396,40
SkuOFF_FR_506,67
C176520,248
C211020,195
PDT01589,150
SkuPDT01718,42
SkuOFF_FR_9573,48
OFF_FR_075,132
OFF_FR_299,94
C980202,114
PDT08578,93
C2275,292
PDT02545,75
PDT01637,119
PDT00668,190
PDT01210,112
PDT01137,92
PDT01147,143
PDT01383,169
C1990,487
PDT02297,92
C152010,129
SkuPDT01212,38
OFF_FR_1015,150
SkuPDT00278,110
PDT01835,146
PDT01316,200
OFF_FR_336,174
SkuPDT00192,38
PDT01251,108
OFF_FR_421,122
SkuOFF_FR_10111,34
C201030,90
SkuPDT01117,66
OFF_FR_435,83
C162020,112
PDT345585,55
SkuOFF_FR_247,34
PDT02449,121
SkuOFF_FR_1008,83
SkuOFF_FR_1623,49
PDT01126,128
OFF_FR_289,129
PDT240582,91
PDT266580,147
C141040,197
OFF_FR_004,131
PDT465581,151
OFF_FR_484,132
OFF_FR_139,84
OFF_FR_1081,94
OFF_FR_1134,130
OFF_FR_345,237
C1740,386
cms_000005,165
PDT01219,162
PDT01043,199
OFF_FR_1947,60
PDT00533,208
PDT00836,203
PDT02351,106
OFF_FR_524,218
PDT01435,161
PDT01405,112
PDT00764,63
SkuOFF_FR_517,48
SkuOFF_FR_9864,33
SkuOFF_FR_1826,38
SkuOFF_FR_0795,52
C201010,189
OFF_FR_316,132
PDT00899,83
SkuPDT01987,59
OFF_FR_369,212
SkuPDT02341,41
C196030,176
cms_000010,200
SkuOFF_FR_395,40
PDT395590,148
SkuOFF_FR_524,87
SkuPDT01915,35
C1512,326
OFF_FR_1214,134
PDT00965,211
OFF_FR_15019,111
OFF_FR_1870,164
OFF_FR_0795,104
OFF_FR_0921,95
C202520,316
PDT01376,126
OFF_FR_0924,101
PDT01204,161
SkuOFF_FR_116,537
PDT02363,87
PDT02362,76
PDT528581,157
PDT01929,147
SkuPDT02393,40
SkuOFF_FR_1572,656
C118510,107
C9922,79
C205030,463
C202870,215
C201220,253
SkuOFF_FR_9666,36
SkuOFF_FR_1896,75
SkuOFF_FR_1900,66
SkuPDT397585,65
PDT02386,64
SkuPDT01990,46
C215030,119
PDT00499,81
SkuPDT01442,47
SkuOFF_FR_0716,52
PDT01477,128
OFF_FR_1749,101
PDT00772,70
C1370,319
PDT466580,112
PDT523581,166
PDT00186,136
PDT00353,147
PDT391580,75
OFF_FR_15002,179
C121210,251
PDT01985,95
OFF_FR_523,168
PDT531584,107
PDT05595,76
SkuOFF_FR_115,797
OFF_FR_15027,74
OFF_FR_028,166
PDT01617,146
OFF_FR_15078,66
C155530,106
SkuPDT01240,52
SkuPDT01831,242
PDT267582,173
cms_000055,72
SkuOFF_FR_9857,53
SkuOFF_FR_2014,73
SkuOFF_FR_9645,74
SkuOFF_FR_9614,37
SkuPDT01791,41
SkuOFF_FR_1120,35
C165230,57
C165321,217
SkuPDT00414,78
OFF_FR_284,153
OFF_FR_038,138
